time per pixel (ns), energy per pixel (nJ), rows, ways, l1_size
1.50975141222, 0.18176873849999997, 1, 1, 4096
2.6354411799, 0.33735114065, 1, 2, 4096
1.76807724168, 0.21503209399999998, 1, 1, 8192
3.33924620282, 0.45285779967, 1, 2, 8192
3.79157423924, 0.5140359027679999, 1, 4, 8192
1.4829200747, 0.1509518725, 1, 1, 16384
2.6596731866199996, 0.35369522497, 1, 2, 16384
3.7615243871, 0.51395655172, 1, 4, 16384
6.02161707918, 0.9491184540180001, 1, 8, 16384
2.06914203252, 0.212848891, 1, 1, 32768
1.57950316126, 0.17407212581, 1, 2, 32768
2.64621780188, 0.33099514241600003, 1, 4, 32768
4.73666716454, 0.729352819754, 1, 8, 32768
1.5220857781600001, 0.183743978, 2, 1, 4096
1.9078288071, 0.22099684385, 2, 2, 4096
1.7770680290800003, 0.216471889, 2, 1, 8192
2.3299739889200004, 0.29146258002, 2, 2, 8192
3.06763377944, 0.397268437408, 2, 4, 8192
1.09823867058, 0.0893485515, 2, 1, 16384
2.04960705316, 0.25613803846, 2, 2, 16384
3.14021841638, 0.41374344381600003, 2, 4, 16384
4.34430197796, 0.6769322319960001, 2, 8, 16384
1.74469890398, 0.1608921965, 2, 1, 32768
1.75185911368, 0.20163399308, 2, 2, 32768
2.4169394867, 0.29401385844, 2, 4, 32768
4.12891985228, 0.630730655828, 2, 8, 32768
1.42040651762, 0.16734093549999998, 3, 1, 4096
1.9479367755000003, 0.22724243085, 3, 2, 4096
1.4896751970000002, 0.1703122518, 3, 1, 8192
1.7307570625800002, 0.19547805842999996, 3, 2, 8192
2.35110245682, 0.281500976824, 3, 4, 8192
1.1762619655800002, 0.1016702421, 3, 1, 16384
1.698163257, 0.1997945511, 3, 2, 16384
2.51730756246, 0.31308596567200003, 3, 4, 16384
4.1205112147200005, 0.640560519072, 3, 8, 16384
1.57141981752, 0.13290607319999997, 3, 1, 32768
1.6891734387, 0.19145275125, 3, 2, 32768
2.58616999086, 0.321118123752, 3, 4, 32768
4.08872454664, 0.6241293854640001, 3, 8, 32768
1.2140000821799999, 0.1344067815, 4, 1, 4096
1.81060062306, 0.20544884411, 4, 2, 4096
1.3810549182600003, 0.15305389549999998, 4, 1, 8192
1.5366274838, 0.1645965753, 4, 2, 8192
2.4221184293599998, 0.29315049475199995, 4, 4, 8192
1.2517159690400002, 0.113926582, 4, 1, 16384
1.62882503152, 0.18884974312, 4, 2, 16384
2.6337495174800005, 0.33205290033600005, 4, 4, 16384
4.37141776906, 0.681332445606, 4, 8, 16384
1.52494251518, 0.1257001565, 4, 1, 32768
1.64494734022, 0.18453746657, 4, 2, 32768
2.516598878, 0.3100883496, 4, 4, 32768
4.12945236978, 0.6308170700779999, 4, 8, 32768
1.11437635728, 0.118452924, 5, 1, 4096
1.6684978925399998, 0.18272484448999998, 5, 2, 4096
1.2312609423799998, 0.1290657165, 5, 1, 8192
1.4848196407999998, 0.1563118548, 5, 2, 8192
2.4423865489999996, 0.29641962679999995, 5, 4, 8192
1.2919383488, 0.12036783999999999, 5, 1, 16384
1.59930095704, 0.18412847524, 5, 2, 16384
2.53974664256, 0.31689077299199997, 5, 4, 16384
4.2058942895, 0.6544721314499999, 5, 8, 16384
1.59775960668, 0.137361169, 5, 1, 32768
1.65550931776, 0.18622645856, 5, 2, 32768
2.3846773391, 0.28881015812, 5, 4, 32768
4.2389550083400005, 0.6485866051339999, 5, 8, 32768
1.03093819884, 0.104611005, 6, 1, 4096
1.5593328376200002, 0.16459527987, 6, 2, 4096
1.14703162944, 0.1150322592, 6, 1, 8192
1.5597915373800002, 0.16765176183, 6, 2, 8192
2.4172370338799993, 0.29158296641599996, 6, 4, 8192
1.25125291868, 0.11316023139999999, 6, 1, 16384
1.6545666412800002, 0.19239319008, 6, 2, 16384
2.3529655310399997, 0.28602199852800003, 6, 4, 16384
4.3316482267000005, 0.67465453197, 6, 8, 16384
1.51199788064, 0.12267914079999999, 6, 1, 32768
1.6199120109599998, 0.17990592396, 6, 2, 32768
2.44437935622, 0.297673155304, 6, 4, 32768
4.167381117380001, 0.6366576388380001, 6, 8, 32768
